sub,t,c,lh_fp,rh_fp,fp_mean
ak15,1,2,0.17374651945034653,0.1554774538246867,0.1646119866375166
dc22,1,2,0.1475149088669957,0.15168577746953144,0.14960034316826357
fd28,1,2,0.13555499434372453,0.14837321273771875,0.14196410354072164
gb30,1,2,0.13762823681074998,0.13637661881052726,0.13700242781063862
jf13,1,2,0.16664874838816232,0.15011593728593653,0.15838234283704944
mf14,1,2,0.15923676992005695,0.1549965512116699,0.15711666056586343
oc29,1,2,0.16566836330752763,0.16087511746381591,0.16327174038567177
ri27,1,2,0.14684190611150438,0.14654236875676344,0.1466921374341339
xr25,1,2,0.13584014758771518,0.1369264718893684,0.1363833097385418
aa35,1,3,0.14682248728369174,0.1422418902484765,0.14453218876608412
ah39,1,3,0.14101807500174854,0.13955896985344549,0.140288522427597
ap34,1,3,0.155560650211895,0.13872844733672848,0.14714454877431174
bc36,1,3,0.14516334094515868,0.170458335961098,0.15781083845312832
eb40,1,3,0.15656663895515674,0.1516685361606394,0.15411758755789806
gc37,1,3,0.16729925796656658,0.12266727110940695,0.14498326453798677
gf42,1,3,0.14129861635369242,0.17573626930836664,0.15851744283102953
jk32,1,3,0.1518018563902584,0.1432390322417902,0.1475204443160243
lv31,1,3,0.1563156762572691,0.14555151270872016,0.15093359448299465
rv38,1,3,0.1467421649874726,0.12960507299589097,0.1381736189916818
sc33,1,3,0.14774554851360366,0.13452349531610133,0.14113452191485248
aa43,1,4,0.17666490288300615,0.11416295635206265,0.1454139296175344
ak49,1,4,0.14826167104160604,0.153822614180484,0.15104214261104504
an56,1,4,0.1525835652408875,0.1593469861682587,0.1559652757045731
aw44,1,4,0.16374470880356026,0.14191886525732972,0.15283178703044498
ce51,1,4,0.1632904714560435,0.1739876474380446,0.16863905944704405
ce53,1,4,0.1502197034781938,0.14302111248538515,0.1466204079817895
ch45,1,4,0.13941716515097313,0.14789400265119762,0.14365558390108538
ds60,1,4,0.1397161020820079,0.1571562528625432,0.14843617747227555
gb54,1,4,0.13647856865778907,0.14826882502453842,0.14237369684116374
jb52,1,4,0.1632864137545218,0.1865395448490656,0.1749129793017937
jm59,1,4,0.13081314692101065,0.15670641565838486,0.14375978128969774
jt61,1,4,0.14964712978584338,0.15619130997262104,0.1529192198792322
lm46,1,4,0.1553301899380177,0.13432743290654614,0.14482881142228193
mm58,1,4,0.15227776584812133,0.15989691162046848,0.15608733873429492
sa62,1,4,0.16922504268385405,0.16482417500529584,0.16702460884457493
se63,1,4,0.1488528370778475,0.14610329309145012,0.1474780650846488
sl48,1,4,0.1711893881494157,0.1890115737203299,0.1801004809348728
wb50,1,4,0.17523171510341076,0.15088808607248566,0.16305990058794823
aa35,1,5,0.14950492686114036,0.12981212001353326,0.1396585234373368
aj65,1,5,0.14861486173111527,0.1525762562569497,0.15059555899403249
al73,1,5,0.14120202473568488,0.1362261047154795,0.13871406472558218
gf42,1,5,0.17965847622370232,0.1468143946081835,0.1632364354159429
jc75,1,5,0.14437303087700779,0.14803774212086415,0.14620538649893597
kr70,1,5,0.15319778896964042,0.1596708132283831,0.15643430109901177
mw69,1,5,0.14735523862407562,0.14890482349249617,0.1481300310582859
pc66,1,5,0.1328954862144311,0.14043851306063998,0.13666699963753554
sg64,1,5,0.15608647401674927,0.1522263225596768,0.15415639828821304
sr72,1,5,0.15593799956378218,0.15023295117130858,0.15308547536754538
tg68,1,5,0.14764283338538176,0.16787555061393272,0.15775919199965724
tm71,1,5,0.1646249759863011,0.1564584272889777,0.1605417016376394
zd74,1,5,0.1250136247515062,0.15379918602572135,0.13940640538861376
am83,1,6,0.15174596633875737,0.14355756380829487,0.14765176507352612
at85,1,6,0.14697043549800978,0.15885428040204175,0.15291235795002578
bg78,1,6,0.1527570610537959,0.16442029847690975,0.15858867976535285
dc80,1,6,0.1534504378366689,0.14776106383611645,0.15060575083639266
